"id","name","party","type","r_2008","r_2010","r_2012","r_2014","r_2016","r_total"
"N00035258","Limehouse, Chip (R-SC)","r","House","0","0","0","6500","0","6500"
"N00035407","Pridemore, Tricia (R-GA)","r","House","0","0","0","5600","0","5600"
"N00035346","Carter, Buddy (R-GA)","r","House","0","0","0","5325","0","5325"
"N00035328","Lindsey, Ed (R-GA)","r","House","0","0","0","5200","0","5200"
"N00034746","DeSantis, Ron (R-FL)","r","House","0","0","0","5000","2700","7700"
"N00012492","Grooms, Larry (R-SC)","r","House","0","0","0","5000","0","5000"
"N00030891","Stutzman, Marlin (R-IN)","r","House","0","0","0","5000","500","5500"
"N00005321","Terry, Lee (R-NE)","r","House","0","0","0","5000","0","5000"
"N00026914","Moore, Gwen (D-WI)","d","House","0","0","0","4500","13000","17500"
"N00031104","Hultgren, Randy (R-IL)","r","House","0","0","0","4250","0","4250"
"N00031253","Rothfus, Keith J (R-PA)","r","House","0","0","0","3499","0","3499"
"N00035717","Jolly, David (R-FL)","r","House","0","0","0","3000","0","3000"
"N00030676","Long, Billy (R-MO)","r","House","0","0","0","3000","0","3000"
"N00035925","Innis, Niger (R-NV)","r","House","0","0","0","2600","0","2600"
"N00035405","Schwarz, David (R-GA)","r","House","0","0","0","2600","0","2600"
"N00007017","Issa, Darrell (R-CA)","r","House","0","0","0","2500","3000","5500"
"N00033591","Peters, Scott (D-CA)","d","House","0","0","0","2500","0","2500"
"N00035972","Ratcliffe, John Lee (R-TX)","r","House","0","0","0","2500","2000","4500"
"N00035282","Smith, Jason (R-MO)","r","House","0","0","0","2500","0","2500"
"N00002713","Brown, Corrine (D-FL)","d","House","0","0","0","2000","10000","12000"
"N00035908","Crisco, Keith (D-NC)","d","House","0","0","0","2000","0","2000"
"N00031672","Farenthold, Blake (R-TX)","r","House","0","0","0","2000","0","2000"
"N00002424","Sanford, Mark (R-SC)","r","House","0","0","0","2000","1000","3000"
"N00035690","Demarco, Paul (R-AL)","r","House","0","0","0","1000","0","1000"
"N00028257","Ellison, Keith (D-MN)","d","House","0","0","0","1000","0","1000"
"N00035800","Garcia, Marilinda (R-NH)","r","House","0","0","0","1000","0","1000"
"N00035792","Hill, French (R-AR)","r","House","0","0","0","1000","2062","3062"
"N00035214","Hutchinson, Toi (D-IL)","d","House","0","0","0","1000","0","1000"
"N00035724","Kim, Donna Mercado (D-HI)","d","House","0","0","0","1000","0","1000"
"N00001148","McCarthy, Carolyn (D-NY)","d","House","0","0","0","1000","0","1000"
"N00006863","McClintock, Tom (R-CA)","r","House","0","0","0","1000","1500","2500"
"N00002198","Rahall, Nick (D-WV)","d","House","0","0","0","1000","0","1000"
"N00033983","Sinema, Kyrsten (D-AZ)","d","House","0","0","0","1000","21500","22500"
"N00027623","Smith, Adrian (R-NE)","r","House","0","0","0","1000","0","1000"
"N00006052","Thornberry, Mac (R-TX)","r","House","0","0","0","1000","0","1000"
"N00033839","Veasey, Marc (D-TX)","d","House","0","0","0","1000","0","1000"
"N00034349","Vela, Filemon (D-TX)","d","House","0","0","0","1000","0","1000"
"N00003467","Whitfield, Ed (R-KY)","r","House","0","0","0","1000","0","1000"
"N00002408","Clyburn, James E (D-SC)","d","House","0","0","0","500","0","500"
"N00030693","DelBene, Suzan (D-WA)","d","House","0","0","0","500","0","500"
"N00001555","Margolies, Marjorie (D-PA)","d","House","0","0","0","500","0","500"
"N00035247","Patrick, Andy (R-SC)","r","House","0","0","0","500","0","500"
"N00032169","Tobin, Andy (R-AZ)","r","House","0","0","0","300","0","300"
"N00033399","Holding, George (R-NC)","r","House","0","0","0","250","0","250"
"N00035884","Kultala, Kelly (D-KS)","d","House","0","0","0","250","0","250"
"N00035616","Zinke, Ryan K (R-MT)","r","House","0","0","0","250","0","250"
"N00033897","Delaney, John K (D-MD)","d","House","0","0","0","0","0","0"
"N00002656","Kingston, Jack (R-GA)","r","Senate","0","0","0","16100","0","16100"
"N00033363","Cotton, Tom (R-AR)","r","Senate","0","0","0","12500","1000","13500"
"N00028138","Schatz, Brian (D-HI)","d","Senate","0","0","0","9700","0","9700"
"N00035516","Perdue, David (R-GA)","r","Senate","0","0","0","6700","0","6700"
"N00035492","Tillis, Thom (R-NC)","r","Senate","0","0","0","3850","0","3850"
"N00035477","Handel, Karen (R-GA)","r","Senate","0","0","0","3600","0","3600"
"N00036205","Shannon, T W (R-OK)","r","Senate","0","0","0","3600","0","3600"
"N00033054","Daines, Steven (R-MT)","r","Senate","0","0","0","3500","0","3500"
"N00033443","Fischer, Deb (R-NE)","r","Senate","0","0","0","2500","0","2500"
"N00003062","Sessions, Jeff (R-AL)","r","Senate","0","0","0","2500","0","2500"
"N00030836","Paul, Rand (R-KY)","r","Senate","0","0","0","2000","0","2000"
"N00033782","Heitkamp, Heidi (D-ND)","d","Senate","0","0","0","1500","0","1500"
"N00035489","McFadden, Mike (R-MN)","r","Senate","0","0","0","1500","0","1500"
"N00032546","Johnson, Ron (R-WI)","r","Senate","0","0","0","1000","1000","2000"
"N00035187","Rounds, Mike (R-SD)","r","Senate","0","0","0","1000","0","1000"
"N00035481","Whitaker, Matt (R-IA)","r","Senate","0","0","0","1000","0","1000"
"N00012739","Crenshaw, Ander  (R-FL)","r","House","0","0","0","0","22900","22900"
"N00034584","Poliquin, Bruce (R-ME)","r","House","0","0","0","0","11249","11249"
"N00035688","Graham, Gwen (D-FL)","d","House","0","0","0","0","7700","7700"
"N00038407","Gowan, David (R-AZ)","r","House","0","0","0","0","5400","5400"
"N00029018","Rooney, Tom (R-FL)","r","House","0","0","0","0","4000","4000"
"N00033277","Hall, Isadore (D-CA)","d","House","0","0","0","0","3500","3500"
"N00038399","Thompson, Geraldine (D-FL)","d","House","0","0","0","0","2700","2700"
"N00036990","Adams, Boyce (R-MS)","r","House","0","0","0","0","2000","2000"
"N00037260","Correa, Lou (D-CA)","d","House","0","0","0","0","2000","2000"
"N00035440","Emmer, Tom (R-MN)","r","House","0","0","0","0","2000","2000"
"N00004558","Peterson, Collin (D-MN)","d","House","0","0","0","0","2000","2000"
"N00037422","Soto, Darren (D-FL)","d","House","0","0","0","0","2000","2000"
"N00037426","Zoeller, Gregory (R-IN)","r","House","0","0","0","0","2000","2000"
"N00033987","LaMalfa, Doug (R-CA)","r","House","0","0","0","0","1500","1500"
"N00012546","Messer, Luke (R-IN)","r","House","0","0","0","0","1500","1500"
"N00031741","Rokita, Todd (R-IN)","r","House","0","0","0","0","1500","1500"
"N00029404","Zeldin, Lee (R-NY)","r","House","0","0","0","0","1500","1500"
"N00025292","Bishop, Rob (R-UT)","r","House","0","0","0","0","1000","1000"
"N00035403","Curbelo, Carlos (R-FL)","r","House","0","0","0","0","1000","1000"
"N00037288","Faso, John (R-NY)","r","House","0","0","0","0","1000","1000"
"N00038421","Grabelle, Justin (R-FL)","r","House","0","0","0","0","1000","1000"
"N00039152","Kelsey, Brian (R-TN)","r","House","0","0","0","0","1000","1000"
"N00007690","Walden, Greg (R-OR)","r","House","0","0","0","0","1000","1000"
"N00037028","Cullerton, Tom (D-IL)","d","House","0","0","0","0","667","667"
"N00037006","Bush, Jeb (R)","r","President","0","0","0","0","21400","21400"
"N00009778","Kasich, John (R)","r","President","0","0","0","0","2700","2700"
"N00031348","Fiorina, Carly (R)","r","President","0","0","0","0","1500","1500"
"N00000528","Sanders, Bernie (D)","d","President","0","0","0","0","304","304"
"N00035544","Sasse, Ben (R-NE)","r","Senate","0","0","0","0","8500","8500"
"N00037400","Zopp, Andrea (D-IL)","d","Senate","0","0","0","0","250","250"
"houNode","House","o","","100000","100000","100000","100000","100000","100000"
"senNode","Senate","o","","100000","100000","100000","100000","100000","100000"
"preNode","President","o","","100000","100000","100000","100000","100000","100000"
"othnode","Delegate","o","","100000","100000","100000","100000","100000","100000"
"repNode","Republican Party","p","","100000","100000","100000","100000","100000","100000"
"demNode","Democratic Party","p","","100000","100000","100000","100000","100000","100000"
"indNode","Independents","p","","100000","100000","100000","100000","100000","100000"
