"id","name","party","type","r_2008","r_2010","r_2012","r_2014","r_2016","r_total"
"N00027866","Seals, Dan (D-IL)","d","House","0","2000","0","0","0","2000"
"N00001817","Young, C W Bill (R-FL)","r","House","0","2000","1500","0","0","3500"
"N00031629","Berg, Rick (R-ND)","r","House","0","1500","5000","0","0","6500"
"N00008086","Camp, Dave (R-MI)","r","House","0","1500","0","0","0","1500"
"N00029562","Lujan, Ben R (D-NM)","d","House","0","1500","0","0","0","1500"
"N00032441","Nugent, Richard (R-FL)","r","House","0","1200","6000","5000","0","12200"
"N00000826","Andrews, Robert E (D-NJ)","d","House","0","1000","0","0","0","1000"
"N00027626","Buchanan, Vernon (R-FL)","r","House","0","1000","0","0","0","1000"
"N00009771","Capito, Shelley Moore (R-WV)","r","House","0","1000","7000","24300","0","32300"
"N00031477","Carter, Liz (R-GA)","r","House","0","1000","0","0","0","1000"
"N00001971","Cummings, Elijah E (D-MD)","d","House","0","1000","0","0","0","1000"
"N00025337","Diaz-Balart, Mario (R-FL)","r","House","0","1000","2000","0","0","3000"
"N00031103","Dold, Bob (R-IL)","r","House","0","1000","5500","0","1000","7500"
"N00030646","Edwards, Lori (D-FL)","d","House","0","1000","0","0","0","1000"
"N00031141","Fincher, Steve (R-TN)","r","House","0","1000","18000","9750","0","28750"
"N00027229","Fitzpatrick, Michael G (R-PA)","r","House","0","1000","1650","5800","0","8450"
"N00031545","Flores, Bill (R-TX)","r","House","0","1000","0","0","0","1000"
"N00030856","Garamendi, John (D-CA)","d","House","0","1000","2000","0","0","3000"
"N00028859","Kissell, Larry (D-NC)","d","House","0","1000","0","0","0","1000"
"N00000575","Larson, John B (D-CT)","d","House","0","1000","0","0","0","1000"
"N00027701","Lentz, Bryan (D-PA)","d","House","0","1000","0","0","0","1000"
"N00003950","Levin, Sander (D-MI)","d","House","0","1000","0","0","0","1000"
"N00027239","Lipinski, Daniel (D-IL)","d","House","0","1000","0","0","0","1000"
"N00030267","McMahon, Michael E (D-NY)","d","House","0","1000","0","0","0","1000"
"N00031412","Mulvaney, Mick (R-SC)","r","House","0","1000","3000","21250","6000","31250"
"N00031011","Owens, Bill (D-NY)","d","House","0","1000","0","0","0","1000"
"N00031750","Perry, Jeff (R-MA)","r","House","0","1000","0","0","0","1000"
"N00029127","Polis, Jared (D-CO)","d","House","0","1000","0","0","0","1000"
"N00031101","Pollak, Joel (R-IL)","r","House","0","1000","0","0","0","1000"
"N00030811","Rice, Rex (R-SC)","r","House","0","1000","0","0","0","1000"
"N00031887","Rivera, David (R-FL)","r","House","0","1000","0","0","0","1000"
"N00030768","Roby, Martha (R-AL)","r","House","0","1000","0","0","0","1000"
"N00030071","Schrader, Kurt (D-OR)","d","House","0","1000","1000","0","0","2000"
"N00003844","Souder, Mark E (R-IN)","r","House","0","1000","0","0","0","1000"
"N00029736","Thompson, Glenn (R-PA)","r","House","0","1000","0","0","0","1000"
"N00026335","Webster, Daniel (R-FL)","r","House","0","1000","10000","5100","5000","21100"
"N00000515","Welch, Peter (D-VT)","d","House","0","1000","0","0","0","1000"
"N00031006","Nunnelee, Alan (R-MS)","r","House","0","900","0","0","0","900"
"N00030780","Gardner, Cory (R-CO)","r","House","0","500","0","6000","2000","8500"
"N00031989","Gooch, Diane (R-NJ)","r","House","0","500","0","0","0","500"
"N00013345","Israel, Steve (D-NY)","d","House","0","500","0","0","0","500"
"N00030667","Kinzinger, Adam (R-IL)","r","House","0","500","1000","3750","0","5250"
"N00029391","Paulsen, Erik (R-MN)","r","House","0","500","0","0","250","750"
"N00031780","Thurmond, Paul (R-SC)","r","House","0","500","0","0","0","500"
"N00024809","Wilson, Joe (R-SC)","r","House","0","500","0","0","0","500"
"N00029321","Harper, Scott (D-IL)","d","House","0","250","0","0","0","250"
"N00032587","McDowell, Gary J (D-MI)","d","House","0","250","0","0","0","250"
"N00013856","Conway, Jack (D-KY)","d","Senate","0","24750","6000","0","0","30750"
"N00002942","Crist, Charlie (I-FL)","i","Senate","0","24000","0","0","5200","29200"
"N00032631","Rossi, Dino (R-WA)","r","Senate","0","24000","0","0","0","24000"
"N00005195","Blunt, Roy (R-MO)","r","Senate","0","18900","7000","0","1000","26900"
"N00007949","Benton, Don (R-WA)","r","Senate","0","15800","0","0","0","15800"
"N00031696","Lee, Mike (R-UT)","r","Senate","0","13200","3750","2500","0","19450"
"N00012539","Kirk, Mark (R-IL)","r","Senate","0","11500","3000","0","1000","15500"
